no,date,steps,calories
1,11/8/16,2047,2278
2,11/9/16,2616,6312
3,11/10/16,3196,12415
4,11/11/16,2817,9582
5,11/12/16,2339,2667
6,11/13/16,2617,6245
7,11/14/16,2958,11806
8,11/15/16,2623,10531
9,11/16/16,2474,7974
10,11/17/16,2623,10642
11,11/18/16,2810,12817
12,11/19/16,2697,7971
13,11/20/16,2239,3123
14,11/21/16,2276,4753
15,11/22/16,2785,10353
16,11/23/16,2398,4845
17,11/24/16,2417,2986
18,11/25/16,2366,7532
19,11/26/16,2222,3330
20,11/27/16,2300,4371
21,11/28/16,2319,4665
22,11/29/16,2592,10578
23,11/30/16,2510,6801
24,12/1/16,3089,11296
25,12/2/16,2316,5509
26,12/3/16,2042,1775
27,12/4/16,2287,5263
28,12/5/16,2603,7185
29,12/6/16,1771,305
30,12/7/16,2149,3127
31,12/8/16,2725,9884
32,12/9/16,2273,3505
33,12/10/16,2331,4461
34,12/11/16,2654,7614
35,12/12/16,2209,3810
36,12/13/16,2342,4574
37,12/14/16,2687,8079
38,12/15/16,2254,4086
39,12/16/16,2676,8646
40,12/17/16,2249,3493
41,12/18/16,1743,102
42,12/19/16,1711,0
43,12/20/16,2443,6553
44,12/21/16,2137,2024
45,12/22/16,2373,5201
46,12/23/16,3133,16722
47,12/24/16,2191,3029
48,12/25/16,2223,2785
49,12/26/16,2442,5293
50,12/27/16,2696,8404
51,12/28/16,1896,1177
52,12/29/16,2625,6417
53,12/30/16,2446,6666
54,12/31/16,4436,17456
55,1/1/17,3087,16825
56,1/2/17,2915,14452
57,1/3/17,3535,25374
58,1/4/17,2734,12039
59,1/5/17,1831,602
60,1/6/17,2609,7880
61,1/7/17,2728,8162
62,1/8/17,2666,10212
63,1/9/17,2676,8329
64,1/10/17,2862,10798
65,1/11/17,2849,10505
66,1/12/17,2587,9469
67,1/13/17,2554,7645
68,1/14/17,2609,8843
69,1/15/17,2531,8352
70,1/16/17,2492,5754
71,1/17/17,2787,5273
72,1/18/17,2636,7783
73,1/19/17,2790,8435
74,1/20/17,2589,7976
75,1/21/17,2965,8929
76,1/22/17,3152,17064
77,1/23/17,2822,7843
78,1/24/17,2942,6956
79,1/25/17,2172,3585
80,1/26/17,2473,7434
81,1/27/17,2710,6779
82,1/28/17,2195,1971
83,1/29/17,2179,4774
84,1/30/17,2281,6361
85,1/31/17,2267,4974
86,2/1/17,2251,5396
87,2/2/17,2369,6536
88,2/3/17,2261,6085
89,2/4/17,1723,26
90,2/5/17,1731,117
91,2/6/17,2368,5904
92,2/7/17,2281,4262
93,2/8/17,2279,5140
94,2/9/17,2430,7477
95,2/10/17,2279,6448
96,2/11/17,2183,3597
97,2/12/17,1966,2708
98,2/13/17,2392,6910
99,2/14/17,1715,8
100,2/15/17,2287,5082
101,2/16/17,2299,4341
102,2/17/17,2309,4709
103,2/18/17,2307,5782
104,2/19/17,2156,4474
105,2/20/17,1737,3154